lessee_airline,lessee_region,fleet_size,debt_to_ebitda,operating_margin_pct,load_factor_pct,on_time_lease_payment_history_pct,state_owned,credit_score,risk_band
Airline-ASI-08,Asia-Pacific,157,1.16,11.5,87.3,100.0,0,76.8,Investment-Grade Equivalent
Airline-NOR-12,North America,167,1.8,4.3,92.1,97.1,1,76.3,Investment-Grade Equivalent
Airline-LAT-16,Latin America,145,1.68,9.6,77.6,97.8,1,74.8,Investment-Grade Equivalent
Airline-NOR-05,North America,96,2.18,12.9,78.7,100.0,1,74.5,Investment-Grade Equivalent
Airline-EUR-13,Europe,29,2.12,13.9,87.6,99.8,0,71.8,Investment-Grade Equivalent
Airline-MID-11,Middle East,146,2.09,17.2,78.0,95.7,0,71.6,Investment-Grade Equivalent
Airline-ASI-14,Asia-Pacific,181,1.36,9.7,86.5,93.8,0,70.5,Investment-Grade Equivalent
Airline-LAT-17,Latin America,17,3.71,19.1,84.5,96.1,1,70.0,Investment-Grade Equivalent
Airline-ASI-01,Asia-Pacific,94,3.19,21.7,81.4,88.4,1,69.4,Stable Sub-Investment Grade
Airline-MID-05,Middle East,114,1.59,18.0,83.3,88.8,0,69.3,Stable Sub-Investment Grade
Airline-EUR-04,Europe,110,2.7,9.2,85.4,100.0,0,69.3,Stable Sub-Investment Grade
Airline-EUR-17,Europe,80,3.14,18.9,78.4,100.0,0,69.2,Stable Sub-Investment Grade
Airline-ASI-20,Asia-Pacific,77,2.55,10.9,84.4,100.0,0,69.2,Stable Sub-Investment Grade
Airline-NOR-03,North America,170,2.26,6.0,80.1,99.1,0,68.9,Stable Sub-Investment Grade
Airline-EUR-21,Europe,94,1.11,12.9,81.2,93.4,0,68.1,Stable Sub-Investment Grade
Airline-MID-12,Middle East,154,4.0,12.7,80.6,98.0,0,68.1,Stable Sub-Investment Grade
Airline-LAT-14,Latin America,114,0.95,9.5,84.1,95.4,0,67.8,Stable Sub-Investment Grade
Airline-NOR-22,North America,209,3.48,11.0,74.2,100.0,0,67.4,Stable Sub-Investment Grade
Airline-NOR-15,North America,194,1.69,7.9,82.1,93.2,0,67.4,Stable Sub-Investment Grade
Airline-NOR-01,North America,212,3.88,15.2,69.4,97.7,0,67.3,Stable Sub-Investment Grade
Airline-LAT-02,Latin America,153,6.09,14.1,85.6,100.0,1,67.3,Stable Sub-Investment Grade
Airline-LAT-12,Latin America,28,5.04,12.4,83.8,100.0,1,66.7,Stable Sub-Investment Grade
Airline-MID-08,Middle East,164,0.85,9.2,81.9,93.2,0,66.3,Stable Sub-Investment Grade
Airline-NOR-04,North America,209,3.78,3.1,89.2,100.0,0,64.7,Stable Sub-Investment Grade
Airline-ASI-23,Asia-Pacific,182,2.87,13.0,79.4,93.5,0,64.6,Stable Sub-Investment Grade
Airline-ASI-16,Asia-Pacific,25,0.8,3.0,84.5,99.7,0,63.8,Stable Sub-Investment Grade
Airline-MID-16,Middle East,165,1.28,3.5,75.9,97.6,0,63.7,Stable Sub-Investment Grade
Airline-ASI-24,Asia-Pacific,166,2.95,3.9,70.8,99.8,0,63.3,Stable Sub-Investment Grade
Airline-ASI-15,Asia-Pacific,188,4.58,9.5,93.2,92.7,0,63.2,Stable Sub-Investment Grade
Airline-LAT-08,Latin America,209,2.63,10.7,68.7,96.3,0,63.2,Stable Sub-Investment Grade
Airline-LAT-15,Latin America,75,0.86,8.0,84.5,94.3,0,62.9,Stable Sub-Investment Grade
Airline-EUR-19,Europe,189,5.08,7.1,78.5,100.0,0,62.1,Stable Sub-Investment Grade
Airline-EUR-15,Europe,74,4.85,12.4,79.5,100.0,0,61.9,Stable Sub-Investment Grade
Airline-LAT-09,Latin America,36,1.01,4.5,81.7,97.7,0,61.8,Stable Sub-Investment Grade
Airline-LAT-20,Latin America,73,1.63,3.7,73.2,100.0,0,61.7,Stable Sub-Investment Grade
Airline-EUR-16,Europe,19,1.8,8.5,75.8,98.0,0,61.4,Stable Sub-Investment Grade
Airline-NOR-17,North America,165,4.36,7.6,87.0,98.1,0,61.1,Stable Sub-Investment Grade
Airline-EUR-24,Europe,202,3.0,4.4,76.3,98.4,0,61.1,Stable Sub-Investment Grade
Airline-MID-24,Middle East,194,3.35,2.4,82.5,96.1,0,61.0,Stable Sub-Investment Grade
Airline-EUR-12,Europe,50,4.15,15.2,77.6,100.0,0,60.5,Stable Sub-Investment Grade
Airline-ASI-10,Asia-Pacific,15,2.64,8.0,85.0,94.9,0,60.2,Stable Sub-Investment Grade
Airline-EUR-10,Europe,216,1.32,-1.8,82.3,87.9,1,60.0,Stable Sub-Investment Grade
Airline-EUR-03,Europe,149,3.58,3.2,89.2,90.3,1,59.8,Stable Sub-Investment Grade
Airline-EUR-18,Europe,189,1.56,0.3,78.4,93.6,0,59.6,Stable Sub-Investment Grade
Airline-ASI-06,Asia-Pacific,27,2.14,8.0,77.5,97.9,0,59.5,Stable Sub-Investment Grade
Airline-LAT-23,Latin America,50,4.75,21.8,72.3,94.7,0,59.0,Stable Sub-Investment Grade
Airline-EUR-08,Europe,199,1.7,2.1,71.4,94.7,0,58.0,Stable Sub-Investment Grade
Airline-EUR-20,Europe,18,2.88,14.7,83.9,91.9,0,56.4,Stable Sub-Investment Grade
Airline-ASI-18,Asia-Pacific,154,4.31,4.6,83.9,93.4,0,55.7,Stable Sub-Investment Grade
Airline-MID-14,Middle East,151,3.47,-0.1,80.7,97.0,0,55.3,Stable Sub-Investment Grade
Airline-ASI-11,Asia-Pacific,149,7.33,10.2,75.7,99.8,0,55.3,Stable Sub-Investment Grade
Airline-EUR-01,Europe,69,4.27,3.5,88.8,93.7,0,54.1,Stable Sub-Investment Grade
Airline-NOR-09,North America,33,1.53,2.9,78.3,95.5,0,53.8,Stable Sub-Investment Grade
Airline-NOR-18,North America,215,5.2,10.8,79.7,89.3,0,52.4,Stable Sub-Investment Grade
Airline-EUR-02,Europe,101,5.66,-1.2,78.7,100.0,1,51.4,Stable Sub-Investment Grade
Airline-ASI-12,Asia-Pacific,62,1.95,4.3,83.8,87.8,0,50.1,Stable Sub-Investment Grade
Airline-ASI-22,Asia-Pacific,94,6.12,11.5,89.4,91.0,0,50.1,Stable Sub-Investment Grade
Airline-ASI-03,Asia-Pacific,34,2.89,-0.9,73.6,100.0,0,49.5,Elevated Risk — Watch List
Airline-NOR-21,North America,21,2.8,0.8,73.2,96.1,0,49.0,Elevated Risk — Watch List
Airline-ASI-04,Asia-Pacific,143,2.64,6.3,68.8,89.4,0,48.7,Elevated Risk — Watch List
Airline-LAT-24,Latin America,26,2.71,6.9,88.6,86.8,0,48.5,Elevated Risk — Watch List
Airline-LAT-10,Latin America,45,2.84,-6.3,78.4,98.2,0,47.8,Elevated Risk — Watch List
Airline-ASI-21,Asia-Pacific,180,6.52,5.5,88.1,87.0,1,47.6,Elevated Risk — Watch List
