aircraft_id,aircraft_type,list_price_usd_m,aircraft_age_years,lease_term_years,lease_rate_factor,monthly_lease_rate_usd,lessee_airline,lessee_region,lease_start_year,maintenance_reserve_usd_per_month,lease_end_year
MSN60000,A320neo,50.8,5.1,7.6,0.00767,389411.0,Airline-ASI-03,Asia-Pacific,2021,51723.0,2029
MSN60001,A320neo,60.6,7.3,8.3,0.00677,410183.0,Airline-LAT-02,Latin America,2020,77714.0,2028
MSN60002,A321neo,29.1,7.5,9.5,0.00804,234056.0,Airline-LAT-14,Latin America,2023,37802.0,2033
MSN60003,B737 MAX 8,50.7,1.7,7.1,0.00755,382551.0,Airline-EUR-01,Europe,2021,73040.0,2028
MSN60004,A321neo,53.5,2.7,7.0,0.00723,386909.0,Airline-LAT-09,Latin America,2024,76228.0,2031
MSN60005,A321neo,45.4,5.8,9.3,0.00809,367364.0,Airline-LAT-24,Latin America,2023,78363.0,2032
MSN60006,A320neo,53.1,6.4,6.1,0.00673,357225.0,Airline-ASI-11,Asia-Pacific,2023,76783.0,2029
MSN60007,A321neo,39.2,10.4,9.7,0.00732,286778.0,Airline-LAT-15,Latin America,2023,49944.0,2033
MSN60008,B787-9,89.3,7.1,10.2,0.00623,556184.0,Airline-EUR-21,Europe,2023,117660.0,2033
MSN60009,A350-900,133.0,9.8,8.8,0.00623,828418.0,Airline-EUR-13,Europe,2019,134659.0,2028
MSN60010,B737 MAX 8,40.1,4.8,6.9,0.00685,274837.0,Airline-NOR-21,North America,2021,52849.0,2028
MSN60011,A320neo,42.7,2.7,6.3,0.00782,333972.0,Airline-MID-14,Middle East,2020,57772.0,2026
MSN60012,B787-9,127.7,3.7,8.5,0.00648,827665.0,Airline-ASI-04,Asia-Pacific,2023,170711.0,2031
MSN60013,A350-900,118.7,0.8,9.6,0.0058,688135.0,Airline-ASI-14,Asia-Pacific,2023,93227.0,2033
MSN60014,A320neo,56.4,4.7,6.2,0.00706,398155.0,Airline-LAT-12,Latin America,2022,78000.0,2028
MSN60015,B737 MAX 8,49.4,7.8,8.5,0.0074,365740.0,Airline-ASI-20,Asia-Pacific,2020,74947.0,2028
MSN60016,A320neo,58.5,10.2,6.8,0.00807,472328.0,Airline-EUR-01,Europe,2021,90726.0,2028
MSN60017,A320neo,57.4,3.2,7.3,0.00829,475938.0,Airline-LAT-08,Latin America,2020,64892.0,2027
MSN60018,A321neo,48.5,8.6,9.1,0.00881,427415.0,Airline-LAT-22,Latin America,2024,78771.0,2033
MSN60019,A320neo,46.5,9.2,7.7,0.00669,311059.0,Airline-EUR-04,Europe,2020,63084.0,2028
MSN60020,A350-900,103.1,8.4,11.5,0.0072,742224.0,Airline-ASI-16,Asia-Pacific,2024,102027.0,2036
MSN60021,A350-900,120.3,11.6,10.1,0.00742,892720.0,Airline-ASI-15,Asia-Pacific,2023,194221.0,2033
MSN60022,A321neo,41.6,7.2,6.5,0.00772,321107.0,Airline-EUR-15,Europe,2019,48522.0,2025
MSN60023,A321neo,50.8,5.6,6.3,0.0078,396337.0,Airline-LAT-15,Latin America,2023,54253.0,2029
MSN60024,A320neo,40.9,6.7,9.4,0.00783,320366.0,Airline-NOR-09,North America,2021,58817.0,2030
MSN60025,A320neo,48.6,0.6,6.5,0.00769,373619.0,Airline-ASI-21,Asia-Pacific,2021,45742.0,2027
MSN60026,B737 MAX 8,49.5,0.6,6.3,0.00701,346820.0,Airline-LAT-23,Latin America,2022,62443.0,2028
MSN60027,B737 MAX 8,44.0,6.2,6.6,0.00837,368133.0,Airline-MID-24,Middle East,2019,59964.0,2026
MSN60028,A320neo,46.5,4.8,8.1,0.00677,314793.0,Airline-ASI-11,Asia-Pacific,2019,67720.0,2027
MSN60029,A321neo,59.6,2.1,8.8,0.00751,447559.0,Airline-ASI-24,Asia-Pacific,2021,66794.0,2030
MSN60030,A321neo,60.9,4.6,8.0,0.00897,546378.0,Airline-EUR-18,Europe,2019,92077.0,2027
MSN60031,A350-900,143.1,7.9,10.4,0.00595,851352.0,Airline-EUR-10,Europe,2022,103986.0,2032
MSN60032,B737 MAX 8,46.4,6.5,8.0,0.00781,362170.0,Airline-ASI-23,Asia-Pacific,2024,59213.0,2032
MSN60033,B737 MAX 8,45.0,5.1,9.0,0.00637,286797.0,Airline-EUR-21,Europe,2021,52703.0,2030
MSN60034,B737 MAX 8,45.8,9.4,8.4,0.00658,301285.0,Airline-ASI-09,Asia-Pacific,2023,41423.0,2031
MSN60035,B787-9,117.7,1.1,10.9,0.00623,732827.0,Airline-EUR-03,Europe,2023,112956.0,2034
MSN60036,B787-9,96.7,10.7,9.5,0.00773,747484.0,Airline-LAT-12,Latin America,2020,144868.0,2030
MSN60037,A321neo,58.1,8.3,10.0,0.00612,355392.0,Airline-EUR-08,Europe,2019,57544.0,2029
MSN60038,A320neo,62.2,5.3,7.8,0.00559,347408.0,Airline-LAT-03,Latin America,2023,50286.0,2031
MSN60039,A350-900,122.1,8.5,9.9,0.00556,678674.0,Airline-ASI-08,Asia-Pacific,2019,91473.0,2029
MSN60040,A320neo,46.5,11.3,6.7,0.00801,372390.0,Airline-ASI-04,Asia-Pacific,2020,45349.0,2027
MSN60041,A321neo,48.3,8.0,8.7,0.00848,409734.0,Airline-NOR-13,North America,2023,80846.0,2032
MSN60042,A320neo,56.2,8.2,8.8,0.00674,378792.0,Airline-MID-09,Middle East,2022,62874.0,2031
MSN60043,A321neo,47.3,8.6,6.6,0.00767,362678.0,Airline-ASI-04,Asia-Pacific,2021,54018.0,2028
MSN60044,A320neo,53.2,11.0,9.8,0.00747,397237.0,Airline-NOR-01,North America,2019,51156.0,2029
MSN60045,A320neo,57.3,10.7,7.6,0.00737,422585.0,Airline-NOR-03,North America,2022,80968.0,2030
MSN60046,A350-900,134.1,3.7,8.8,0.00707,948024.0,Airline-NOR-16,North America,2022,196115.0,2031
MSN60047,B787-9,109.9,0.8,9.8,0.00613,674121.0,Airline-ASI-06,Asia-Pacific,2023,103075.0,2033
MSN60048,A350-900,112.0,3.7,10.8,0.00715,800883.0,Airline-EUR-20,Europe,2019,130532.0,2030
MSN60049,B737 MAX 8,35.6,4.7,9.4,0.00803,285719.0,Airline-EUR-02,Europe,2019,61634.0,2028
MSN60050,B737 MAX 8,57.0,3.3,8.2,0.00848,483094.0,Airline-MID-16,Middle East,2019,71561.0,2027
MSN60051,A321neo,51.7,5.8,6.2,0.00734,379370.0,Airline-EUR-18,Europe,2024,60230.0,2030
MSN60052,A320neo,40.5,11.3,7.9,0.00764,309594.0,Airline-LAT-10,Latin America,2019,49893.0,2027
MSN60053,A321neo,44.0,2.7,8.5,0.00896,394178.0,Airline-EUR-20,Europe,2019,70894.0,2027
MSN60054,B737 MAX 8,44.4,4.9,9.3,0.00654,290357.0,Airline-ASI-04,Asia-Pacific,2023,46058.0,2032
MSN60055,A320neo,34.6,10.1,6.8,0.00782,270486.0,Airline-EUR-19,Europe,2024,57567.0,2031
MSN60056,A320neo,50.0,2.0,7.9,0.00751,375401.0,Airline-NOR-18,North America,2024,74343.0,2032
MSN60057,A350-900,113.8,4.6,11.3,0.00722,821479.0,Airline-NOR-03,North America,2023,121508.0,2034
MSN60058,A320neo,45.6,6.8,8.8,0.0086,392257.0,Airline-ASI-16,Asia-Pacific,2023,50343.0,2032
MSN60059,B737 MAX 8,53.9,9.3,6.2,0.0078,420498.0,Airline-EUR-24,Europe,2022,88189.0,2028
MSN60060,B737 MAX 8,47.2,10.4,9.5,0.00773,364858.0,Airline-EUR-03,Europe,2019,71217.0,2029
MSN60061,B787-9,147.0,3.4,9.7,0.00638,938286.0,Airline-LAT-09,Latin America,2023,146239.0,2033
MSN60062,A321neo,51.4,11.5,9.4,0.00698,358927.0,Airline-LAT-17,Latin America,2021,66927.0,2030
MSN60063,A321neo,48.3,5.5,9.5,0.00808,390324.0,Airline-LAT-17,Latin America,2021,53799.0,2031
MSN60064,A350-900,121.1,2.0,11.5,0.00788,954114.0,Airline-ASI-09,Asia-Pacific,2020,147608.0,2032
MSN60065,A350-900,133.8,2.3,11.8,0.00703,940262.0,Airline-LAT-09,Latin America,2022,179604.0,2034
MSN60066,B737 MAX 8,46.6,5.5,7.4,0.00741,345181.0,Airline-ASI-09,Asia-Pacific,2021,60418.0,2028
MSN60067,A350-900,133.8,9.8,9.1,0.00728,973613.0,Airline-NOR-05,North America,2024,177340.0,2033
MSN60068,B737 MAX 8,40.7,1.3,9.7,0.00788,320603.0,Airline-LAT-23,Latin America,2021,56064.0,2031
MSN60069,B787-9,112.7,3.0,11.8,0.00622,701546.0,Airline-NOR-03,North America,2023,113973.0,2035
MSN60070,A321neo,49.4,9.7,7.9,0.00738,364452.0,Airline-EUR-21,Europe,2021,61105.0,2029
MSN60071,B737 MAX 8,42.2,10.0,7.4,0.00944,398346.0,Airline-MID-16,Middle East,2024,75286.0,2031
MSN60072,B787-9,124.1,2.8,11.9,0.00652,809365.0,Airline-EUR-10,Europe,2020,177030.0,2032
MSN60073,A321neo,60.8,1.1,9.7,0.00744,452104.0,Airline-LAT-08,Latin America,2019,64429.0,2029
MSN60074,B737 MAX 8,38.8,8.0,9.7,0.00734,284822.0,Airline-EUR-17,Europe,2020,60903.0,2030
MSN60075,A321neo,40.3,9.6,9.7,0.00807,325076.0,Airline-LAT-24,Latin America,2020,49136.0,2030
MSN60076,A321neo,49.0,1.1,7.4,0.00713,349393.0,Airline-ASI-10,Asia-Pacific,2023,60071.0,2030
MSN60077,A320neo,48.5,6.5,9.3,0.00757,367223.0,Airline-MID-05,Middle East,2019,54986.0,2028
MSN60078,A320neo,50.2,2.1,8.8,0.00812,407835.0,Airline-ASI-23,Asia-Pacific,2020,88280.0,2029
MSN60079,A350-900,122.9,7.4,9.9,0.00748,919244.0,Airline-LAT-04,Latin America,2019,173745.0,2029
MSN60080,A321neo,36.0,1.8,8.9,0.00662,238310.0,Airline-ASI-14,Asia-Pacific,2020,36264.0,2029
MSN60081,B737 MAX 8,54.9,2.0,9.3,0.00669,367027.0,Airline-LAT-16,Latin America,2021,74280.0,2030
MSN60082,B737 MAX 8,40.8,6.7,9.2,0.00794,323984.0,Airline-NOR-01,North America,2020,58038.0,2029
MSN60083,A321neo,49.8,11.4,8.3,0.00742,369494.0,Airline-MID-20,Middle East,2020,64534.0,2028
MSN60084,A321neo,52.6,0.8,8.8,0.00766,402902.0,Airline-ASI-18,Asia-Pacific,2022,66139.0,2031
MSN60085,A320neo,57.5,1.6,6.3,0.00689,395904.0,Airline-MID-11,Middle East,2022,64795.0,2028
MSN60086,A350-900,109.4,2.8,8.1,0.00613,670116.0,Airline-EUR-12,Europe,2022,132371.0,2030
MSN60087,A350-900,119.3,9.9,9.3,0.0062,739140.0,Airline-NOR-04,North America,2023,104360.0,2032
MSN60088,B737 MAX 8,46.1,3.3,6.4,0.0085,392063.0,Airline-MID-11,Middle East,2024,52655.0,2030
MSN60089,A350-900,94.5,3.6,10.7,0.00603,569989.0,Airline-EUR-17,Europe,2020,106051.0,2031
MSN60090,B737 MAX 8,42.0,5.4,8.5,0.00882,370445.0,Airline-ASI-22,Asia-Pacific,2021,56572.0,2029
MSN60091,B737 MAX 8,40.0,10.4,7.8,0.007,280034.0,Airline-NOR-15,North America,2023,40028.0,2031
MSN60092,A320neo,38.8,3.7,6.3,0.00617,239321.0,Airline-EUR-18,Europe,2019,33663.0,2025
MSN60093,A350-900,143.0,5.9,9.7,0.007,1000405.0,Airline-EUR-20,Europe,2023,128502.0,2033
MSN60094,A321neo,45.5,6.0,8.7,0.0069,314003.0,Airline-ASI-17,Asia-Pacific,2023,50531.0,2032
MSN60095,A321neo,60.8,6.2,8.2,0.00769,467759.0,Airline-NOR-22,North America,2020,87330.0,2028
MSN60096,A321neo,59.9,5.6,8.4,0.00647,387379.0,Airline-LAT-02,Latin America,2022,78049.0,2030
MSN60097,B737 MAX 8,32.9,9.8,9.6,0.00667,219548.0,Airline-NOR-12,North America,2020,33340.0,2030
MSN60098,B737 MAX 8,49.0,2.8,9.7,0.00756,370586.0,Airline-EUR-16,Europe,2021,46604.0,2031
MSN60099,B737 MAX 8,40.0,6.3,7.2,0.00797,318977.0,Airline-EUR-10,Europe,2023,45308.0,2030
MSN60100,A321neo,52.4,2.0,9.5,0.00628,329173.0,Airline-NOR-12,North America,2024,43618.0,2034
MSN60101,A320neo,49.3,10.5,8.1,0.0069,339938.0,Airline-MID-08,Middle East,2019,54516.0,2027
MSN60102,A350-900,106.1,5.4,8.1,0.00862,914350.0,Airline-LAT-20,Latin America,2022,112573.0,2030
MSN60103,A321neo,50.5,12.0,6.4,0.00924,466412.0,Airline-ASI-18,Asia-Pacific,2019,90920.0,2025
MSN60104,A321neo,54.1,8.1,7.6,0.0075,405596.0,Airline-ASI-12,Asia-Pacific,2021,71691.0,2029
MSN60105,A320neo,45.6,2.8,9.8,0.00842,383997.0,Airline-ASI-23,Asia-Pacific,2021,75874.0,2031
MSN60106,A321neo,27.9,11.1,9.8,0.00643,179511.0,Airline-ASI-14,Asia-Pacific,2021,37944.0,2031
MSN60107,A320neo,38.5,3.9,7.7,0.00901,346960.0,Airline-EUR-17,Europe,2019,72451.0,2027
MSN60108,A321neo,41.2,7.8,7.0,0.0074,304937.0,Airline-MID-12,Middle East,2021,45550.0,2028
MSN60109,B737 MAX 8,44.1,9.3,9.8,0.00596,262676.0,Airline-LAT-03,Latin America,2021,34669.0,2031
MSN60110,B787-9,90.4,1.7,9.2,0.00684,618447.0,Airline-ASI-04,Asia-Pacific,2019,97163.0,2028
MSN60111,B737 MAX 8,61.1,2.6,9.8,0.00806,492699.0,Airline-NOR-17,North America,2019,101657.0,2029
MSN60112,A320neo,46.7,5.4,6.1,0.00695,324601.0,Airline-ASI-12,Asia-Pacific,2023,67437.0,2029
MSN60113,B737 MAX 8,58.4,4.6,8.4,0.00736,429901.0,Airline-ASI-17,Asia-Pacific,2023,78143.0,2031
MSN60114,B737 MAX 8,45.3,4.1,7.1,0.00717,324955.0,Airline-NOR-05,North America,2020,50511.0,2027
MSN60115,A350-900,93.1,3.6,8.4,0.00623,580315.0,Airline-EUR-02,Europe,2024,103460.0,2032
MSN60116,B737 MAX 8,38.4,4.6,8.0,0.007,268690.0,Airline-ASI-01,Asia-Pacific,2024,38823.0,2032
MSN60117,B787-9,89.0,11.8,8.2,0.00665,591636.0,Airline-LAT-04,Latin America,2021,77655.0,2029
MSN60118,A321neo,37.4,5.8,7.8,0.007,261619.0,Airline-ASI-09,Asia-Pacific,2020,31991.0,2028
MSN60119,A320neo,51.5,5.8,6.9,0.00696,358337.0,Airline-NOR-16,North America,2024,44156.0,2031
