aircraft_id,aircraft_type,lessee_airline,lessee_region,list_price_usd_m,lease_rate_factor,annual_lease_revenue_usd,lease_yield_pct,annual_mr_reserve_usd,annual_depreciation_usd,annual_debt_service_usd,net_operating_income_usd
MSN60000,A320neo,Airline-ASI-03,Asia-Pacific,50.8,0.00767,4672932.0,9.2,620676.0,1727200.0,1600200.0,1345532.0
MSN60001,A320neo,Airline-LAT-02,Latin America,60.6,0.00677,4922196.0,8.12,932568.0,2060400.0,1908900.0,952896.0
MSN60002,A321neo,Airline-LAT-14,Latin America,29.1,0.00804,2808672.0,9.65,453624.0,989400.0,916650.0,902622.0
MSN60003,B737 MAX 8,Airline-EUR-01,Europe,50.7,0.00755,4590612.0,9.05,876480.0,1723800.0,1597050.0,1269762.0
MSN60004,A321neo,Airline-LAT-09,Latin America,53.5,0.00723,4642908.0,8.68,914736.0,1819000.0,1685250.0,1138658.0
MSN60005,A321neo,Airline-LAT-24,Latin America,45.4,0.00809,4408368.0,9.71,940356.0,1543600.0,1430100.0,1434668.0
MSN60006,A320neo,Airline-ASI-11,Asia-Pacific,53.1,0.00673,4286700.0,8.07,921396.0,1805400.0,1672650.0,808650.0
MSN60007,A321neo,Airline-LAT-15,Latin America,39.2,0.00732,3441336.0,8.78,599328.0,1332800.0,1234800.0,873736.0
MSN60008,B787-9,Airline-EUR-21,Europe,89.3,0.00623,6674208.0,7.47,1411920.0,3036200.0,2812950.0,825058.0
MSN60009,A350-900,Airline-EUR-13,Europe,133.0,0.00623,9941016.0,7.47,1615908.0,4522000.0,4189500.0,1229516.0
MSN60010,B737 MAX 8,Airline-NOR-21,North America,40.1,0.00685,3298044.0,8.22,634188.0,1363400.0,1263150.0,671494.0
MSN60011,A320neo,Airline-MID-14,Middle East,42.7,0.00782,4007664.0,9.39,693264.0,1451800.0,1345050.0,1210814.0
MSN60012,B787-9,Airline-ASI-04,Asia-Pacific,127.7,0.00648,9931980.0,7.78,2048532.0,4341800.0,4022550.0,1567630.0
MSN60013,A350-900,Airline-ASI-14,Asia-Pacific,118.7,0.0058,8257620.0,6.96,1118724.0,4035800.0,3739050.0,482770.0
MSN60014,A320neo,Airline-LAT-12,Latin America,56.4,0.00706,4777860.0,8.47,936000.0,1917600.0,1776600.0,1083660.0
MSN60015,B737 MAX 8,Airline-ASI-20,Asia-Pacific,49.4,0.0074,4388880.0,8.88,899364.0,1679600.0,1556100.0,1153180.0
MSN60016,A320neo,Airline-EUR-01,Europe,58.5,0.00807,5667936.0,9.69,1088712.0,1989000.0,1842750.0,1836186.0
MSN60017,A320neo,Airline-LAT-08,Latin America,57.4,0.00829,5711256.0,9.95,778704.0,1951600.0,1808100.0,1951556.0
MSN60018,A321neo,Airline-LAT-22,Latin America,48.5,0.00881,5128980.0,10.58,945252.0,1649000.0,1527750.0,1952230.0
MSN60019,A320neo,Airline-EUR-04,Europe,46.5,0.00669,3732708.0,8.03,757008.0,1581000.0,1464750.0,686958.0
MSN60020,A350-900,Airline-ASI-16,Asia-Pacific,103.1,0.0072,8906688.0,8.64,1224324.0,3505400.0,3247650.0,2153638.0
MSN60021,A350-900,Airline-ASI-15,Asia-Pacific,120.3,0.00742,10712640.0,8.9,2330652.0,4090200.0,3789450.0,2832990.0
MSN60022,A321neo,Airline-EUR-15,Europe,41.6,0.00772,3853284.0,9.26,582264.0,1414400.0,1310400.0,1128484.0
MSN60023,A321neo,Airline-LAT-15,Latin America,50.8,0.0078,4756044.0,9.36,651036.0,1727200.0,1600200.0,1428644.0
MSN60024,A320neo,Airline-NOR-09,North America,40.9,0.00783,3844392.0,9.4,705804.0,1390600.0,1288350.0,1165442.0
MSN60025,A320neo,Airline-ASI-21,Asia-Pacific,48.6,0.00769,4483428.0,9.23,548904.0,1652400.0,1530900.0,1300128.0
MSN60026,B737 MAX 8,Airline-LAT-23,Latin America,49.5,0.00701,4161840.0,8.41,749316.0,1683000.0,1559250.0,919590.0
MSN60027,B737 MAX 8,Airline-MID-24,Middle East,44.0,0.00837,4417596.0,10.04,719568.0,1496000.0,1386000.0,1535596.0
MSN60028,A320neo,Airline-ASI-11,Asia-Pacific,46.5,0.00677,3777516.0,8.12,812640.0,1581000.0,1464750.0,731766.0
